Country,Date,New_cases,Total_Cases,Total_Percent
Austria,26 Aug 2020,327,25954,0.29
Austria,27 Aug 2020,328,26282,0.3
Austria,27 Aug 2020,328,26282,0.3
Austria,28 Aug 2020,229,26511,0.3
Austria,28 Aug 2020,229,26511,0.3
Austria,28 Aug 2020,229,26511,0.3
Austria,29 Aug 2020,395,26906,0.3
Austria,30 Aug 2020,181,27087,0.3
Austria,30 Aug 2020,181,27087,0.3
Austria,31 Aug 2020,272,27359,0.31
Austria,1 Sept 2020,204,27563,0.31
Austria,1 Sept 2020,204,27563,0.31
Austria,1 Sept 2020,204,27563,0.31
Austria,2 Sept 2020,327,27890,0.31
Austria,2 Sept 2020,327,27890,0.31
Austria,3 Sept 2020,403,28293,0.32
Austria,4 Sept 2020,357,28650,0.32
Austria,4 Sept 2020,357,28650,0.32
Austria,5 Sept 2020,358,29008,0.33
Austria,5 Sept 2020,358,29008,0.33
Austria,5 Sept 2020,358,29008,0.33
Austria,6 Sept 2020,184,29192,0.33
Austria,7 Sept 2020,290,29482,0.33
Austria,7 Sept 2020,290,29482,0.33
Austria,8 Sept 2020,520,30002,0.34
Austria,8 Sept 2020,520,30002,0.34
Austria,8 Sept 2020,520,30002,0.34
Austria,9 Sept 2020,502,30504,0.34
Austria,10 Sept 2020,664,31168,0.35
Austria,10 Sept 2020,664,31168,0.35
Austria,11 Sept 2020,580,31748,0.36
Austria,12 Sept 2020,869,32617,0.37
Austria,12 Sept 2020,869,32617,0.37
Austria,12 Sept 2020,869,32617,0.37
Austria,13 Sept 2020,463,33080,0.37
Austria,13 Sept 2020,463,33080,0.37
Austria,14 Sept 2020,382,33462,0.38
Austria,15 Sept 2020,764,34226,0.38
Austria,15 Sept 2020,764,34226,0.38
Austria,16 Sept 2020,768,34994,0.39
Austria,16 Sept 2020,768,34994,0.39
Austria,16 Sept 2020,768,34994,0.39
Austria,17 Sept 2020,780,35774,0.4
Austria,18 Sept 2020,808,36582,0.41
Austria,18 Sept 2020,808,36582,0.41
Austria,19 Sept 2020,813,37395,0.42
Austria,20 Sept 2020,621,38016,0.43
Austria,20 Sept 2020,621,38016,0.43
Austria,20 Sept 2020,621,38016,0.43
Austria,21 Sept 2020,563,38579,0.43
Austria,21 Sept 2020,563,38579,0.43
Austria,22 Sept 2020,645,39224,0.44
Austria,23 Sept 2020,681,39905,0.45
Austria,23 Sept 2020,681,39905,0.45
Austria,24 Sept 2020,832,40737,0.46
Austria,24 Sept 2020,832,40737,0.46
Austria,24 Sept 2020,832,40737,0.46
Austria,25 Sept 2020,684,41421,0.47
Austria,26 Sept 2020,714,42135,0.47
Austria,26 Sept 2020,714,42135,0.47
Austria,27 Sept 2020,662,42797,0.48
Austria,27 Sept 2020,662,42797,0.48
Austria,27 Sept 2020,662,42797,0.48
Austria,28 Sept 2020,556,43353,0.49
Austria,29 Sept 2020,609,43962,0.49
Austria,29 Sept 2020,609,43962,0.49
Austria,30 Sept 2020,772,44734,0.5
Austria,1 Oct 2020,873,45607,0.51
Austria,1 Oct 2020,873,45607,0.51
Austria,1 Oct 2020,873,45607,0.51
Austria,2 Oct 2020,688,46295,0.52
Austria,2 Oct 2020,688,46295,0.52
Austria,3 Oct 2020,1058,47353,0.53
Austria,4 Oct 2020,714,48067,0.54
Austria,4 Oct 2020,714,48067,0.54
Austria,5 Oct 2020,750,48817,0.55
Austria,5 Oct 2020,750,48817,0.55
Austria,5 Oct 2020,750,48817,0.55
Austria,6 Oct 2020,923,49740,0.56
Austria,7 Oct 2020,1029,50769,0.57
Austria,7 Oct 2020,1029,50769,0.57
Austria,8 Oct 2020,1209,51978,0.58
Austria,9 Oct 2020,1131,53109,0.6
Austria,9 Oct 2020,1131,53109,0.6
Austria,9 Oct 2020,1131,53109,0.6
Austria,10 Oct 2020,1235,54344,0.61
Austria,10 Oct 2020,1235,54344,0.61
Austria,11 Oct 2020,896,55240,0.62
Austria,12 Oct 2020,979,56219,0.63
Austria,12 Oct 2020,979,56219,0.63
Austria,13 Oct 2020,1028,57247,0.64
Austria,13 Oct 2020,1028,57247,0.64
Austria,13 Oct 2020,1028,57247,0.64
Austria,14 Oct 2020,1346,58593,0.66
Austria,15 Oct 2020,1552,60145,0.68
Austria,15 Oct 2020,1552,60145,0.68
Austria,16 Oct 2020,1163,61308,0.69
Austria,17 Oct 2020,1747,63055,0.71
Austria,17 Oct 2020,1747,63055,0.71
Austria,17 Oct 2020,1747,63055,0.71
Austria,18 Oct 2020,1672,64727,0.73
Austria,18 Oct 2020,1672,64727,0.73
Austria,19 Oct 2020,1121,65848,0.74
Austria,20 Oct 2020,1524,67372,0.76
Austria,20 Oct 2020,1524,67372,0.76
Austria,20 Oct 2020,1524,67372,0.76
